date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-21,California,State,Total,70.0,100.0,551.14285714285,100.0
2021-01-21,California,State,Other,15.0,21.43,230.42857142857,41.809227579057
2021-01-21,California,State,Epsilon,27.0,38.57,305.0,55.339554173147
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025920165889
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Delta,1.0,1.43,0.71428571428,0.129600829445
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Other,11.0,34.38,197.57142857142,41.619018958772
2021-01-22,California,State,Alpha,7.0,21.88,14.28571428571,3.009328919651
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.030093289197
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Epsilon,13.0,40.62,261.71428571428,55.130905808005
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Gamma,0.0,0.0,0.42857142857,0.09027986759
2021-01-22,California,State,Total,32.0,100.0,474.71428571428,100.0
2021-01-22,California,State,Delta,1.0,3.12,0.57142857142,0.120373156786
2021-01-23,California,State,Alpha,11.0,57.89,13.42857142857,3.602912993484
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.038328861633
2021-01-23,California,State,Gamma,0.0,0.0,0.42857142857,0.114986584898
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Other,3.0,15.79,150.85714285714,40.475277884247
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Delta,0.0,0.0,0.57142857142,0.153315446531
2021-01-23,California,State,Epsilon,5.0,26.32,207.28571428571,55.615178229207
2021-01-23,California,State,Total,19.0,100.0,372.71428571428,100.0
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Delta,0.0,0.0,0.57142857142,0.171086398631
2021-01-24,California,State,Epsilon,29.0,72.5,185.85714285714,55.645851154833
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.042771599658
2021-01-24,California,State,Gamma,0.0,0.0,0.28571428571,0.085543199316
2021-01-24,California,State,Alpha,7.0,17.5,14.0,4.191616766467
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Other,4.0,10.0,133.14285714285,39.863130881095
2021-01-24,California,State,Total,40.0,100.0,334.0,100.0
2021-01-25,California,State,Gamma,0.0,0.0,0.28571428571,0.119760479042
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Total,75.0,100.0,238.57142857142,100.0
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.059880239521
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.179640718563
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Alpha,4.0,5.33,12.71428571428,5.329341317365
2021-01-25,California,State,Epsilon,41.0,54.67,130.85714285714,54.850299401198
2021-01-25,California,State,Other,30.0,40.0,94.14285714285,39.461077844311
2021-01-26,California,State,Other,215.0,38.39,50.71428571428,34.399224806202
2021-01-26,California,State,Delta,0.0,0.0,0.28571428571,0.193798449612
